Date,Description,Withdrawal (Dr),Deposit (Cr),Balance,Type,Reference
15/12/2025,GRS/0357GRSL2506 1862 Commision CGST~0357GRSL25 0618,180.00,,1199579.61,debit,
15/12/2025,GRS/0357GRSL2506 1862 Slab CGST~0357GRSL25 061862 Sl,376.55,,1199203.06,debit,
15/12/2025,INF/NEFT/IN4253495 2715291/UTIB00005 03/AKASHSKY,99045.00,,1100158.06,debit,
15/12/2025,INF/NEFT/IN4253495 2716795/UTIB00031 00/SHRUTICONSUL,66000.00,,1034158.06,debit,
16/12/2025,BIL/ONL/001130183 996/Eduqfix(CC,20000.00,,1014158.06,debit,
17/12/2025,GIB/002055795500/ DTAX /25121700022959ICI C,201870.00,,812288.06,debit,
17/12/2025,BIL/ONL/001130709 979/IBIBO GROU WORLDLINE EPAYM,3148.95,,809139.11,debit,
18/12/2025,MSI/OPENAI CHA/202512180146 /595107/,1885.95,,807253.16,debit,
19/12/2025,MSI/VERCEL INC /202512190501/254 127/,1881.40,,805371.76,debit,
19/12/2025,BIL/ONL/001131330 593/Indigo Air,15881.00,,789490.76,debit,
19/12/2025,BIL/ONL/001131396 471/Indigo Air,21999.00,,767491.76,debit,
21/12/2025,BIL/ONL/001131934 644/MAKEMYTRIP MAKEMYTRIP INDI,26578.00,,740913.76,debit,
22/12/2025,BIL/ONL/001132219 188/Indigo Air,27320.00,,713593.76,debit,
22/12/2025,BIL/ONL/001132363 986/IBIBO GROU WORLDLINE EPAYM,1648.50,,711945.26,debit,
23/12/2025,MIN/VERCEL INC /202512231940/461 898/,46.69,,711898.57,debit,
24/12/2025,BIL/ONL/001132794 877/Indigo Air,10810.00,,701088.57,debit,
24/12/2025,MSI/VERCEL INC /202512242146/333 468/,1865.48,,699223.09,debit,
25/12/2025,BIL/ONL/001133465 593/Indigo Air,1780.00,,697443.09,debit,
26/12/2025,BIL/REV PMT ID 1131330593,,15881.00,713324.09,credit,
26/12/2025,MMT/IMPS/5360156 96670/NIDISH/UTIB 0000347,200001.00,,513323.09,debit,
29/12/2025,BIL/REV PMT ID 1132363986,,1648.50,514971.59,credit,
29/12/2025,GIB/002056435226/ DTAX /25122900449314ICI C,62300.00,,452671.59,debit,
30/12/2025,MMT/IMPS/5364108 31404/NIDISH/UTIB 0000347,300000.00,,152671.59,debit,
30/12/2025,INF/INFT/042814506 231/APOORVACA,120758.00,,31913.59,debit,
07/01/2026,GRS/0357GRSA260 19359 9696974 80131 Solar Punk Ltd~0357GRSA2601 9359 9696974 80131 Solar Punk Lt,,778849.36,810762.95,credit,
07/01/2026,GRS/0357GRSA260 19359 Commission~0357G RSA26019359 C,2000.00,,808762.95,debit,
07/01/2026,GRS/0357GRSA260 19359 Commision CGST~0357GRSA26 0193,180.00,,808582.95,debit,
07/01/2026,GRS/0357GRSA260 19359 Commision SGST~0357GRSA26 0193,180.00,,808402.95,debit,
07/01/2026,GRS/0357GRSA260 19359 Slab CGST~0357GRSA26 019359 Sl,395.48,,808007.47,debit,
07/01/2026,GRS/0357GRSA260 19359 Slab SGST~0357GRSA26 019359 Sl,395.48,,807611.99,debit,
07/01/2026,FT-MPS- PRO/1898/VERCEL INC /231225,,46.69,807658.68,credit,
07/01/2026,MMT/IMPS/6007209 79861/NidishAlt/STC B0000065,200000.00,,607658.68,debit,
08/01/2026,BIL/ONL/001142496 333/MAKEMYTRIP MAKEMYTRIP INDI,8807.00,,598851.68,debit,
09/01/2026,BIL/ONL/001143020 014/Diverse Re,10999.00,,587852.68,debit,
14/01/2026,MSI/OPENAI CHA/202601141900 /738016/,1881.95,,585970.73,debit,
16/01/2026,GRS/0357GRSA260 65581 P202601150003251 PARITY TECHNOLOGIES LIMITED~0357GRSA 26065581 P20260115000325,,459257.10,1045227.83,credit,
16/01/2026,GRS/0357GRSA260 65581 Commission~0357G RSA26065581 C,2000.00,,1043227.83,debit,
16/01/2026,GRS/0357GRSA260 65581 Commision CGST~0357GRSA26 0655,180.00,,1043047.83,debit,
16/01/2026,GRS/0357GRSA260 65581 Commision SGST~0357GRSA26 0655,180.00,,1042867.83,debit,
16/01/2026,GRS/0357GRSA260 65581 Slab SGST~0357GRSA26 065581 Sl,251.67,,1042616.16,debit,
16/01/2026,GRS/0357GRSA260 65581 Slab CGST~0357GRSA26 065581 Sl,251.67,,1042364.49,debit,
18/01/2026,MSI/OPENAI CHA/202601180146 /585396/,1892.81,,1040471.68,debit,
19/01/2026,MSI/VERCEL INC /202601190510/450 456/,1892.81,,1038578.87,debit,
20/01/2026,INF/NEFT/IN4260205 6787882/UTIB00005 03/AkashSky,61613.00,,976965.87,debit,
20/01/2026,INF/NEFT/IN4260205 6790728/MAHB000 1305/ArunabhaIITIn do,16600.00,,960365.87,debit,
20/01/2026,INF/NEFT/IN4260205 6791769/SBIN00187 90/LovelyIITIndore,20000.00,,940365.87,debit,
20/01/2026,INF/NEFT/IN4260205 6792434/HDFC0000 910/MohiUniq,10000.00,,930365.87,debit,
21/01/2026,BIL/ONL/001148502 952/INTERGLOBE,24855.00,,905510.87,debit,
25/01/2026,MSI/VERCEL INC /202601250525/298 658/,1915.88,,903594.99,debit,
29/01/2026,BIL/ONL/001151277 242/ZoomCar In,9237.00,,894357.99,debit,
30/01/2026,BIL/ONL/001151417 197/Google Ind,500.00,,893857.99,debit,
01/02/2026,BIL/ONL/001152850 562/Redbus(PAY,5495.40,,888362.59,debit,
01/02/2026,BIL/ONL/001152852 224/Redbus(PAY,3255.40,,885107.19,debit,
02/02/2026,BIL/ONL/001153553 305/ALLEVENTS,4191.20,,880915.99,debit,
02/02/2026,MMT/IMPS/6033209 32698/SHRUTICONS UL/UTIB0003100,500000.00,,380915.99,debit,
08/02/2026,MMT/IMPS/6039219 52876/SHRUTICONS UL/UTIB0003100,300000.00,,80915.99,debit,
09/02/2026,GRS/0357GRSB2603 0131 9373521 80131 Solar Punk Ltd~0357GRSB2603 0131 9373521 80131 Solar Punk Lt,,940445.05,1021361.04,credit,
09/02/2026,GRS/0357GRSB2603 0131 Commission~0357G RSB26030131 C,2000.00,,1019361.04,debit,
09/02/2026,GRS/0357GRSB2603 0131 Commision CGST~0357GRSB26 0301,180.00,,1019181.04,debit,
09/02/2026,GRS/0357GRSB2603 0131 Commision SGST~0357GRSB26 0301,180.00,,1019001.04,debit,
09/02/2026,GRS/0357GRSB2603 0131 Slab CGST~0357GRSB26 030131 Sl,468.20,,1018532.84,debit,
09/02/2026,GRS/0357GRSB2603 0131 Slab SGST~0357GRSB26 030131 Sl,468.20,,1018064.64,debit,
10/02/2026,INF/NEFT/IN4260415 1028414/MAHB000 1305/ARUNABHAIIT INDO,45000.00,,973064.64,debit,
10/02/2026,INF/NEFT/IN4260415 1032514/SBIN00187 90/LOVELYIITINDOR E,20000.00,,953064.64,debit,
10/02/2026,INF/NEFT/IN4260415 1033443/HDFC0000 910/MOHIUNIQ,10000.00,,943064.64,debit,
14/02/2026,MSI/OPENAI CHA/202602141905 /668395/,1888.99,,941175.65,debit,
17/02/2026,GRS/0357GRSB2606 0433 P202602120000182 PARITY TECHNOLOGIES LIMITED~0357GRSB 26060433 P20260212000018,,862117.69,1803293.34,credit,
17/02/2026,GRS/0357GRSB2606 0433 Commission~0357G RSB26060433 C,2000.00,,1801293.34,debit,
17/02/2026,GRS/0357GRSB2606 0433 Commision SGST~0357GRSB26 0604,180.00,,1801113.34,debit,
17/02/2026,GRS/0357GRSB2606 0433 Commision CGST~0357GRSB26 0604,180.00,,1800933.34,debit,
17/02/2026,GRS/0357GRSB2606 0433 Slab CGST~0357GRSB26 060433 Sl,432.95,,1800500.39,debit,
17/02/2026,GRS/0357GRSB2606 0433 Slab SGST~0357GRSB26 060433 Sl,432.95,,1800067.44,debit,
18/02/2026,MSI/OPENAI CHA/202602180155 /558159/,1888.26,,1798179.18,debit,
19/02/2026,MSI/VERCEL INC /202602190500/043 893/,1890.28,,1796288.90,debit,
21/02/2026,MMT/IMPS/6052211 89293/AkashSky/UTI B0000503,115950.00,,1680338.90,debit,
25/02/2026,BIL/ONL/001165549 568/ZoomCar In,9467.00,,1670871.90,debit,
25/02/2026,MSI/VERCEL INC /202602250525/216 032/,1892.97,,1668978.93,debit,
25/02/2026,MIN/RENDER COM /202602251342/277 525/,94.65,,1668884.28,debit,
27/02/2026,CMS/ BIL REV PMT ID 1165549568/CENTR AL LIABILITY,,9467.00,1678351.28,credit,
02/03/2026,MIN/OPENAI CHA/202603021253 /751259/,50970.43,,1627380.85,debit,
02/03/2026,BIL/ONL/001167126 830/Google Pla,25097.14,,1602283.71,debit,
09/03/2026,MMT/IMPS/6068190 02807/ShrutiConsul/ UTIB0003100,350000.00,,1252283.71,debit,
10/03/2026,BIL/ONL/001173390 307/MAKEMYTRIP MAKEMYTRIP INDI,49504.00,,1202779.71,debit,
11/03/2026,INF/NEFT/IN4260705 1852117/MAHB000 1305/ARUNABHAIIT INDO,25000.00,,1177779.71,debit,
11/03/2026,INF/NEFT/IN4260705 1852266/SBIN00187 90/LOVELYIITINDOR E,20000.00,,1157779.71,debit,
11/03/2026,INF/NEFT/IN4260705 1852336/HDFC0000 910/MOHIUNIQ,10000.00,,1147779.71,debit,
12/03/2026,BIL/ONL/001174143 662/Indigo Air,35024.00,,1112755.71,debit,
12/03/2026,FT-MPS- PRO/7525/RENDER COM /250226,,94.65,1112850.36,credit,
13/03/2026,GRS/0357GRSC2606 2026 P202603120000302 PARITY TECHNOLOGIES LIMITED~0357GRSC 26062026 P20260312000030,,774672.16,1887522.52,credit,
13/03/2026,GRS/0357GRSC2606 2026 Commission~0357G RSC26062026 C,2000.00,,1885522.52,debit,
13/03/2026,GRS/0357GRSC2606 2026 Commision SGST~0357GRSC26 0620,180.00,,1885342.52,debit,
13/03/2026,GRS/0357GRSC2606 2026 Slab SGST~0357GRSC26 062026 Sl,393.60,,1884948.92,debit,
13/03/2026,GRS/0357GRSC2606 2026 Commision CGST~0357GRSC26 0620,180.00,,1884768.92,debit,
13/03/2026,GRS/0357GRSC2606 2026 Slab CGST~0357GRSC26 062026 Sl,393.60,,1884375.32,debit,
14/03/2026,MSI/OPENAI CHA/202603141902 /770891/,1926.81,,1882448.51,debit,
18/03/2026,MSI/OPENAI CHA/202603180142 /731715/,1926.58,,1880521.93,debit,
19/03/2026,MSI/VERCEL INC /202603190535/046 851/,1935.57,,1878586.36,debit,
21/03/2026,INF/NEFT/IN4260805 8946751/UTIB00005 03/AkashSky,104156.00,,1774430.36,debit,
25/03/2026,MSI/VERCEL INC /202603250425/061 579/,1955.84,,1772474.52,debit,
